,kic,tic,tess_light_curves
271,2555680,120824797,0
272,2555680,120824797,0
273,2555680,120824797,0
274,2555680,120824797,0
275,2555680,120824797,0
276,2556650,120963454,0
277,2557350,120970827,0
278,2557430,121022559,0
279,2557430,121022559,0
280,2558273,121083753,0
281,2558488,121126771,0
282,2558488,121126771,0
283,2558488,121126771,0
284,2558488,121126771,0
285,2568519,122223391,0
286,2568519,122223391,0
287,2568971,122223312,0
288,2568971,122223312,0
289,2568971,122223312,0
290,2568971,122223312,0
291,2569516,122364060,0
292,2569639,122306148,0
293,2570767,122375154,0
294,2571238,122375047,0
295,2571417,122452250,0
296,2571417,122452250,0
297,2571868,122452155,2
298,2573108,122671871,0
299,2574201,122781802,0
300,2574960,137096454,0
301,2576224,137220955,0
302,2576224,137220955,0
303,2576692,137316195,0
304,2576692,137316195,0
305,2576692,137316195,0
306,2576692,137316195,0
307,2576692,137316195,0
308,2576692,137316195,0
309,2578077,137348383,0
310,2578077,137348383,0
311,2578404,137348305,0
312,2578404,137348305,0
313,2578891,137486455,0
314,2579906,137547758,0
315,2579906,137547758,0
316,2579906,137547758,0
317,2579906,137547758,0
318,2579906,137547758,0
319,2579906,137547758,0
320,2579906,137547758,0
321,2579906,137547758,0
322,2579906,137547758,0
323,2580613,137636494,0
324,2581316,137685450,0
325,2581316,137685450,0
326,2581554,137817355,0
327,2581674,137817307,0
328,2581674,137817307,0
329,2581674,137817307,0
330,2582539,137890994,0
331,2583153,137977636,0
332,2583153,137977636,0
333,2583153,137977636,0
334,2583234,137977639,0
335,2583234,137977639,0
336,2583777,138036515,0
337,2583777,138036515,0
338,2584879,138154506,0
339,2584879,138154506,0
340,2584879,138154506,0
341,2584879,138154506,0
342,2584879,138154506,0
343,2584908,138154398,0
344,2692377,120629799,0
345,2692377,120629799,0
346,2692704,120629872,2
347,2692704,120629872,2
348,2692704,120629872,2
349,2692704,120629872,2
350,2692708,120637232,0
351,2693092,120637242,0
352,2693092,120637242,0
353,2693450,120694025,0
