,kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,target_pixel_files
4439,6421759,006421759-06,258350240,FP,1,6,10,15.34724916,0
4440,6421759,006421759-07,258350240,FP,1,7,10,21.87637642,0
4441,6421759,006421759-08,258350240,FP,1,8,10,11.5192508,0
4442,6421759,006421759-09,258350240,FP,1,9,10,24.99135551,0
4443,6421759,006421759-10,258350240,FP,1,10,10,32.85984163,0
4444,6423922,006423922-01,120106078,PC,0,1,1,0.9950610809,0
4445,6425135,006425135-01,164827812,FP,1,1,7,2.030883823,0
4446,6425135,006425135-02,164827812,FP,1,2,7,62.86435535,0
4447,6425135,006425135-03,164827812,FP,1,3,7,28.99856365,0
4448,6425135,006425135-05,164827812,FP,1,5,7,38.27502622,0
4449,6425135,006425135-06,164827812,FP,1,6,7,30.49876081,0
4450,6425135,006425135-07,164827812,FP,1,7,7,24.61698103,0
4451,6425957,006425957-01,399822422,PC,0,1,2,2.755635944,0
4452,6425957,006425957-02,399822422,PC,0,2,2,20.30651978,0
4453,6426158,006426158-01,120495323,FP,1,1,5,2.432733446,0
4454,6426158,006426158-02,120495323,FP,1,2,5,1.62183348,0
4455,6426158,006426158-03,120495323,FP,1,3,5,0.6083415528,0
4456,6426158,006426158-04,120495323,FP,1,4,5,1.621822124,0
4457,6426158,006426158-05,120495323,FP,1,5,5,0.8118323267,0
4458,6426507,006426507-01,120577170,FP,1,1,3,286.9581313,0
4459,6426507,006426507-02,120577170,FP,1,2,3,362.5836699,0
4460,6426507,006426507-03,120577170,FP,1,3,3,503.5451414,0
4461,6428850,006428850-01,120899883,FP,1,1,3,5.528605542999999,0
4462,6428850,006428850-02,120899883,FP,1,2,3,5.528712334,0
4463,6428850,006428850-03,120899883,FP,1,3,3,5.528226062000001,0
4464,6428932,006428932-01,121015760,FP,1,1,2,0.6116966608,0
4465,6428932,006428932-02,121015760,FP,1,2,2,0.6117224313,0
4466,6429185,006429185-01,121015741,FP,1,1,1,444.7498891,0
4467,6429742,006429742-01,121113748,FP,1,1,4,0.961181657,0
4468,6429742,006429742-02,121113748,FP,1,2,4,0.5459244033,0
4469,6429742,006429742-03,121113748,FP,1,3,4,0.5459137685000001,0
4470,6429742,006429742-04,121113748,FP,1,4,4,0.9488895208,0
4471,6430330,006430330-01,121219146,FP,1,1,1,0.7285021537999999,0
4472,6432054,006432054-01,121463057,FP,1,1,1,1.241505879,0
4473,6435936,006435936-01,122066949,PC,0,1,1,56.05632118,0
4474,6437385,006437385-01,122297373,FP,1,1,6,422.2470832,0
4475,6437385,006437385-02,122297373,FP,1,2,6,515.7922108,0
4476,6437385,006437385-03,122297373,FP,1,3,6,551.9767684999998,0
4477,6437385,006437385-04,122297373,FP,1,4,6,525.6237302000002,0
4478,6437385,006437385-05,122297373,FP,1,5,6,469.4045925,0
4479,6437385,006437385-06,122297373,FP,1,6,6,483.4920855,0
4480,6437719,006437719-01,122297438,FP,1,1,1,7.776750709,0
4481,6437993,006437993-01,122297712,FP,1,1,2,1.397952832,0
4482,6441258,006441258-01,137087880,FP,1,1,6,0.830766021,0
4483,6441258,006441258-02,137087880,FP,1,2,6,1.008777179,0
4484,6441258,006441258-03,137087880,FP,1,3,6,21.21543973,0
4485,6441258,006441258-04,137087880,FP,1,4,6,43.01846435,0
4486,6441258,006441258-05,137087880,FP,1,5,6,26.44171971,0
4487,6441258,006441258-06,137087880,FP,1,6,6,211.033834,0
4488,6441398,006441398-01,137087830,FP,1,1,1,1.279967248,0
4489,6441436,006441436-01,159653895,FP,1,1,2,0.8005041570999999,0
4490,6441436,006441436-02,159653895,FP,1,2,2,0.8005237486,0
4491,6441729,006441729-01,137211395,FP,1,1,2,1.411139935,0
4492,6441729,006441729-02,137211395,FP,1,2,2,224.9123038,0
4493,6441836,006441836-01,137211273,FP,1,1,2,0.5944504395,0
4494,6441836,006441836-02,137211273,FP,1,2,2,0.5945653842,0
4495,6442060,006442060-01,137211699,FP,1,1,3,1.377762586,0
4496,6442060,006442060-02,137211699,FP,1,2,3,176.59851569999995,0
4497,6442060,006442060-03,137211699,FP,1,3,3,55.89137096,0
4498,6442246,006442246-01,137211740,FP,0,1,1,2.212759547,0
4499,6442340,006442340-01,137342279,PC,0,1,3,13.13748802,0
4500,6442340,006442340-02,137342279,PC,0,2,3,7.782006181,0
4501,6442340,006442340-03,137342279,PC,0,3,3,23.44303547,0
4502,6443122,006443122-01,351073181,FP,1,1,5,1.620562382,0
4503,6443122,006443122-02,351073181,FP,1,2,5,114.0625427,0
4504,6443122,006443122-03,351073181,FP,1,3,5,109.5544153,0
4505,6443122,006443122-04,351073181,FP,1,4,5,62.74043073,0
4506,6443122,006443122-05,351073181,FP,1,5,5,128.4931431,0
4507,6443392,006443392-01,137408962,FP,1,1,2,1.553939952,1
4508,6443392,006443392-02,137408962,FP,1,2,2,1.553948087,1
4509,6444896,006444896-01,137558813,PC,0,1,2,8.689106111000001,0
4510,6444896,006444896-02,137558813,FP,1,2,2,19.53519557,0
4511,6445116,006445116-01,137757519,FP,1,1,6,1.516572696,0
4512,6445116,006445116-02,137757519,FP,1,2,6,0.6723787259999999,0
4513,6445116,006445116-03,137757519,FP,1,3,6,204.98552450000003,0
4514,6445116,006445116-04,137757519,FP,1,4,6,9.417049085,0
4515,6445116,006445116-05,137757519,FP,1,5,6,18.85487058,0
4516,6445116,006445116-06,137757519,FP,1,6,6,34.86481143,0
4517,6445969,006445969-01,63370633,FP,1,1,2,0.6164909717,0
4518,6445969,006445969-02,63370633,FP,1,2,2,0.9606502612,0
4519,6446951,006446951-01,275496829,FP,1,1,2,1.38735444,0
4520,6446951,006446951-02,275496829,FP,1,2,2,3.182292297,0
4521,6447258,006447258-01,138098122,FP,1,1,1,5.542220026,0
4522,6448362,006448362-01,138221430,FP,1,1,2,0.8243327158,0
4523,6448362,006448362-02,138221430,FP,1,2,2,0.8243438003,0
4524,6448666,006448666-01,138221465,FP,1,1,2,0.5540683753,0
4525,6448666,006448666-02,138221465,FP,1,2,2,0.5540900308,0
